Fuzzer ,Endpoint,BAC Type,Classification,Time to Detection (s) ,Notes/Evidence ,METRICS FOR RESEARCH
ZAP - JuiceShop,/rest/user/whoami,BOLA,"(B) Fuzzed, No Alert",N/A,Stateless scan; missed horizontal access to other users’ profiles,
ZAP - JuiceShop,/rest/basket/{id},BOLA,"(B) Fuzzed, No Alert",N/A,Scan did not track JWT/session; unable to access other users’ baskets,
ZAP - JuiceShop,/rest/basket/{id} (PUT),BOLA,"(B) Fuzzed, No Alert",N/A,Cannot modify other users’ baskets without stateful requests,
ZAP - JuiceShop,/rest/admin/application-configuration,BFLA,"(B) Fuzzed, No Alert",N/A,Stateless scan; admin-only endpoints not accessed,
ZAP - JuiceShop,/rest/order/{id},BOLA,"(B) Fuzzed, No Alert",N/A,Sequence-dependent; missed without authenticated session,"Coverage is 100%, but detection of BAC flaws = 0/5."
ZAP - JuiceShop (w/ Minimal Spec),/rest/user/whoami,BOLA,"(B) Fuzzed, No Alert",N/A,Stateless scan; missed horizontal access to other users’ profiles,
ZAP - JuiceShop (w/ Minimal Spec),/rest/basket/{id},BOLA,"(B) Fuzzed, No Alert",N/A,Scan did not track JWT/session; unable to access other users’ baskets,
ZAP - JuiceShop (w/ Minimal Spec),/rest/basket/{id} (PUT),BOLA,"(B) Fuzzed, No Alert",N/A,Cannot modify other users’ baskets without stateful requests,
ZAP - JuiceShop (w/ Minimal Spec),/rest/admin/application-configuration,BFLA,"(B) Fuzzed, No Alert",N/A,Stateless scan; admin-only endpoints not accessed,
ZAP - JuiceShop (w/ Minimal Spec),/rest/order/{id},BOLA,"(B) Fuzzed, No Alert",N/A,Sequence-dependent; missed without authenticated session,"Coverage is 100%, but detection of BAC flaws = 0/5."
ZAP - crAPI ,/identity/api/v2/vehicle/{vehicleId}/location,BOLA,"(B) Fuzzed, No Alert",N/A,Stateless scan; could not leak other vehicle IDs,
