Task ID,Message Type,Req. Timestamp,Method,URL,Code,Reason,RTT,Size Req. Header,Size Req. Body,Size Resp. Header,Size Resp. Body,Highest Alert,State,Payloads
0,Original,Sun Feb 22 21:05:27 PST 2026,GET,http://localhost:3000/rest/user/whoami,200,OK,13,2072,0,385,119,,,[]
6,Fuzzed,Sun Feb 22 21:06:14 PST 2026,GET,http://localhost:3000/rest/user/whoami,200,OK,19,2073,0,385,119,,,[&]
8,Fuzzed,Sun Feb 22 21:06:14 PST 2026,GET,http://localhost:3000/rest/user/whoami,200,OK,27,2073,0,385,119,,,[(]
9,Fuzzed,Sun Feb 22 21:06:14 PST 2026,GET,http://localhost:3000/rest/user/whoami,200,OK,39,2073,0,385,119,,,[)]
25,Fuzzed,Sun Feb 22 21:06:14 PST 2026,GET,http://localhost:3000/rest/user/whoami,500,Internal Server Error,34,2073,0,363,1908,,Reflected,[9]
26,Fuzzed,Sun Feb 22 21:06:14 PST 2026,GET,http://localhost:3000/rest/user/whoami,200,OK,28,2073,0,385,119,,Reflected,[:]
11,Fuzzed,Sun Feb 22 21:06:14 PST 2026,GET,http://localhost:3000/rest/user/whoami,200,OK,65,2073,0,385,119,,,[+]
27,Fuzzed,Sun Feb 22 21:06:14 PST 2026,GET,http://localhost:3000/rest/user/whoami,200,OK,36,2073,0,385,119,,,[;]
5,Fuzzed,Sun Feb 22 21:06:14 PST 2026,GET,http://localhost:3000/rest/user/whoami,200,OK,84,2073,0,385,119,,,[%]
28,Fuzzed,Sun Feb 22 21:06:14 PST 2026,GET,http://localhost:3000/rest/user/whoami,200,OK,37,2073,0,385,119,,,[<]
30,Fuzzed,Sun Feb 22 21:06:14 PST 2026,GET,http://localhost:3000/rest/user/whoami,200,OK,33,2073,0,385,119,,,[>]
2,Fuzzed,Sun Feb 22 21:06:14 PST 2026,GET,http://localhost:3000/rest/user/whoami,200,OK,107,2073,0,385,119,,Reflected,"[""]"
31,Fuzzed,Sun Feb 22 21:06:14 PST 2026,GET,http://localhost:3000/rest/user/whoami,200,OK,36,2073,0,385,119,,,[?]
32,Fuzzed,Sun Feb 22 21:06:14 PST 2026,GET,http://localhost:3000/rest/user/whoami,200,OK,35,2073,0,385,119,,Reflected,[@]
13,Fuzzed,Sun Feb 22 21:06:14 PST 2026,GET,http://localhost:3000/rest/user/whoami,500,Internal Server Error,125,2073,0,363,1908,,Reflected,[-]
33,Fuzzed,Sun Feb 22 21:06:14 PST 2026,GET,http://localhost:3000/rest/user/whoami,500,Internal Server Error,41,2073,0,363,1908,,,[A]
34,Fuzzed,Sun Feb 22 21:06:14 PST 2026,GET,http://localhost:3000/rest/user/whoami,500,Internal Server Error,36,2073,0,363,1908,,,[B]
35,Fuzzed,Sun Feb 22 21:06:14 PST 2026,GET,http://localhost:3000/rest/user/whoami,500,Internal Server Error,32,2073,0,363,1908,,Reflected,[C]
10,Fuzzed,Sun Feb 22 21:06:14 PST 2026,GET,http://localhost:3000/rest/user/whoami,200,OK,143,2073,0,385,119,,,[*]
36,Fuzzed,Sun Feb 22 21:06:14 PST 2026,GET,http://localhost:3000/rest/user/whoami,500,Internal Server Error,52,2073,0,363,1908,,Reflected,[D]
37,Fuzzed,Sun Feb 22 21:06:14 PST 2026,GET,http://localhost:3000/rest/user/whoami,500,Internal Server Error,47,2073,0,363,1908,,Reflected,[E]
1,Fuzzed,Sun Feb 22 21:06:14 PST 2026,GET,http://localhost:3000/rest/user/whoami,200,OK,170,2073,0,385,119,,,[!]
42,Fuzzed,Sun Feb 22 21:06:14 PST 2026,GET,http://localhost:3000/rest/user/whoami,500,Internal Server Error,32,2073,0,363,1908,,Reflected,[J]
3,Fuzzed,Sun Feb 22 21:06:14 PST 2026,GET,http://localhost:3000/rest/user/whoami,200,OK,178,2073,0,385,119,,,[#]
